State,TimeZone,Trump Positive,Trump Negative,Hillary Positive,Hillary Negative
California,PST," 8,908 "," 2,063 "," 25,425 "," 16,694 "
Nevada,PST,,,,
Oregon,PST,,,,
Washington,PST,,,,
Arizona,MST, 872 , 207 ," 2,720 "," 1,914 "
Colorado,MST,,,,
Idaho,MST,,,,
Montana,MST,,,,
New Mexico,MST,,,,
Utah,MST,,,,
Wyoming,MST,,,,
Alabama,CST," 4,032 "," 1,100 "," 14,991 "," 10,237 "
Arkansas,CST,,,,
Illinois,CST,,,,
Iowa,CST,,,,
Kansas,CST,,,,
Kentucky,CST,,,,
Louisiana,CST,,,,
Minnesota,CST,,,,
Mississippi,CST,,,,
Missouri,CST,,,,
Nebraska,CST,,,,
North Dakota,CST,,,,
Oklahoma,CST,,,,
South Dakota,CST,,,,
Tennessee,CST,,,,
Texas,CST,,,,
Wisconsin,CST,,,,
Connecticut,EST," 7,359 "," 1,896 "," 25,258 "," 16,408 "
Delaware,EST,,,,
District of Columbia,EST,,,,
Florida,EST,,,,
Georgia,EST,,,,
Indiana,EST,,,,
Maine,EST,,,,
Maryland,EST,,,,
Massachusetts,EST,,,,
Michigan,EST,,,,
New Hampshire,EST,,,,
New Jersey,EST,,,,
New York,EST,,,,
North Carolina,EST,,,,
Ohio,EST,,,,
Pennsylvania,EST,,,,
Rhode Island,EST,,,,
South Carolina,EST,,,,
Vermont,EST,,,,
Virginia,EST,,,,
West Virginia,EST,,,,
